frame,time_ps,dO56_R346,dO56_R483,dO57_R346,dO57_R483,anchor_min,tail_hsa_min,cls,dO38_R408,pep_ecd_min,com_hsa_ecd,lnk_e2e,lnk_rg
197,19700.000,13.088,11.315,12.877,10.985,10.985,3.545,surface,12.627,2.674,47.382,18.033,8.612
198,19800.000,13.325,11.679,13.441,12.327,11.679,3.105,surface,12.847,2.754,47.330,15.511,8.310
199,19900.000,15.301,13.506,14.054,12.817,12.817,3.074,surface,14.082,2.719,46.867,15.299,8.385
200,20000.000,14.007,12.556,13.571,11.638,11.638,2.843,surface,13.810,2.631,47.598,15.438,8.471
201,20100.000,13.751,11.587,13.753,11.842,11.587,3.474,surface,12.308,2.720,46.853,17.313,8.631
202,20200.000,13.184,12.145,13.332,11.761,11.761,3.339,surface,10.994,2.768,47.881,16.193,8.432
203,20300.000,13.265,11.878,13.556,12.179,11.878,3.061,surface,10.452,2.922,48.229,16.463,8.228
204,20400.000,12.050,10.736,11.439,9.800,9.800,3.198,surface,11.808,2.966,48.016,17.194,8.369
205,20500.000,14.476,12.755,15.631,13.382,12.755,3.406,surface,10.527,2.801,47.875,19.164,9.073
206,20600.000,16.827,13.551,17.607,14.433,13.551,3.142,surface,11.286,2.889,47.463,18.560,8.817
207,20700.000,15.163,13.406,16.544,14.584,13.406,3.170,surface,10.703,2.787,47.532,19.338,9.084
208,20800.000,17.908,15.079,19.351,16.679,15.079,2.995,surface,10.302,3.021,48.081,18.708,8.776
209,20900.000,16.039,13.659,16.993,14.593,13.659,3.206,surface,10.341,2.824,48.098,20.318,9.001
210,21000.000,17.243,14.256,18.609,15.624,14.256,3.267,surface,10.394,3.156,47.520,19.654,8.791
211,21100.000,16.494,13.534,17.786,15.039,13.534,3.224,surface,10.801,2.887,47.762,20.429,8.880
212,21200.000,16.669,13.158,18.227,14.873,13.158,3.244,surface,11.161,2.654,47.959,19.889,8.881
213,21300.000,16.913,14.398,18.216,15.864,14.398,3.255,surface,11.989,2.630,47.408,19.365,8.539
214,21400.000,16.326,13.534,17.910,15.194,13.534,3.235,surface,10.693,2.793,47.937,18.918,8.687
215,21500.000,18.590,15.504,17.664,14.707,14.707,3.099,surface,10.277,2.636,47.608,20.134,8.883
216,21600.000,17.324,14.398,16.205,13.269,13.269,3.003,surface,11.463,2.566,47.421,19.788,8.918
217,21700.000,18.396,15.506,18.350,15.798,15.506,3.329,surface,9.183,2.649,47.601,20.927,9.048
218,21800.000,15.658,13.792,16.457,14.235,13.792,3.022,surface,10.707,2.596,47.692,19.974,8.916
219,21900.000,15.983,13.796,17.323,14.855,13.796,3.266,surface,10.014,2.754,48.176,19.960,8.910
220,22000.000,17.364,15.090,18.205,15.963,15.090,3.473,surface,10.730,2.592,47.691,20.230,8.809
221,22100.000,16.956,14.776,17.501,14.938,14.776,3.131,surface,10.744,2.675,48.074,19.738,8.675
222,22200.000,17.088,14.114,17.870,14.597,14.114,3.484,surface,10.771,2.546,48.366,19.827,8.600
223,22300.000,17.238,14.591,18.555,16.042,14.591,3.327,surface,10.751,2.959,47.700,18.676,8.785
224,22400.000,15.916,13.767,17.001,14.363,13.767,3.258,surface,11.443,2.871,48.396,19.619,8.686
225,22500.000,17.142,15.119,16.896,14.466,14.466,3.151,surface,10.174,2.829,47.607,19.709,8.598
226,22600.000,16.283,13.464,17.980,15.101,13.464,3.300,surface,10.415,2.767,47.018,21.064,9.186
227,22700.000,16.460,14.498,17.796,15.725,14.498,3.307,surface,10.957,2.748,47.417,20.610,9.275
228,22800.000,18.549,15.247,18.958,15.729,15.247,3.256,surface,11.603,3.035,47.137,21.020,9.019
229,22900.000,16.947,14.107,17.909,15.205,14.107,3.470,surface,14.206,2.772,47.585,20.535,8.585
230,23000.000,15.729,13.608,16.553,14.451,13.608,3.339,surface,13.760,2.870,47.504,18.901,8.473
231,23100.000,17.926,16.127,17.226,14.920,14.920,3.053,surface,14.029,2.871,47.121,21.863,8.817
232,23200.000,18.343,15.693,16.287,13.575,13.575,3.574,surface,12.045,2.993,47.578,20.833,8.770
233,23300.000,18.389,15.603,18.886,16.378,15.603,3.414,surface,10.780,2.974,47.827,20.253,9.022
234,23400.000,16.621,14.272,18.382,15.642,14.272,3.111,surface,10.042,2.864,47.503,20.663,9.151
235,23500.000,15.939,13.767,17.447,14.827,13.767,3.445,surface,11.114,2.764,47.371,20.185,9.162
236,23600.000,18.562,15.303,18.505,15.347,15.303,3.282,surface,10.506,2.860,47.418,19.852,8.824
237,23700.000,17.897,15.288,16.456,13.914,13.914,3.245,surface,9.789,3.216,47.096,20.425,8.484
238,23800.000,17.443,14.735,17.528,15.451,14.735,3.263,surface,12.343,2.602,48.039,18.447,8.544
239,23900.000,17.714,15.016,19.728,17.001,15.016,3.299,surface,12.323,3.164,47.331,19.914,8.284
240,24000.000,18.966,16.130,18.236,15.657,15.657,3.286,surface,10.298,2.765,48.681,20.787,8.810
241,24100.000,16.205,14.510,17.232,15.279,14.510,3.125,surface,13.417,2.772,47.728,21.308,9.220
242,24200.000,15.486,13.316,16.957,14.282,13.316,3.605,surface,12.041,2.817,47.965,21.201,8.824
243,24300.000,17.660,15.089,19.117,16.344,15.089,3.517,surface,13.021,2.985,48.187,21.367,8.999
244,24400.000,17.310,14.921,18.876,16.371,14.921,3.052,surface,11.903,2.765,47.562,20.809,9.069
245,24500.000,17.623,15.017,17.844,15.600,15.017,3.315,surface,10.217,3.246,47.049,20.269,8.900
246,24600.000,16.688,14.602,18.074,15.867,14.602,3.189,surface,12.398,2.958,47.278,20.647,9.011
247,24700.000,16.040,13.234,17.449,14.596,13.234,3.154,surface,12.726,2.850,47.980,21.445,8.927
248,24800.000,16.399,14.173,17.962,15.755,14.173,3.313,surface,12.042,2.859,47.145,21.156,9.230
249,24900.000,16.759,13.301,17.099,13.869,13.301,3.446,surface,12.922,2.716,47.280,21.609,9.136
