Time_ns,PC1,PC2
79.9,-41.048946,-35.42685
80.0,-47.96236,-35.829372
80.1,-36.933006,-24.531881
80.2,-33.595554,-24.996372
80.3,-46.576603,-15.504727
80.4,-51.2939,-32.726074
80.5,-49.791824,-34.536255
80.6,-49.224335,-32.039814
80.7,-48.571537,-42.170437
80.8,-46.508137,-27.003563
80.9,-65.233604,-25.482006
81.0,-71.83796,-31.161694
81.1,-54.11214,-25.034164
81.2,-51.57457,-18.467886
81.3,-53.682392,-24.95575
81.4,-51.544243,-34.819653
81.5,-56.083878,-31.381414
81.6,-54.187164,-32.554222
81.7,-52.408424,-31.481352
81.8,-44.081745,-34.980186
81.9,-45.520542,-33.790073
82.0,-53.61087,-39.026688
82.1,-54.143726,-30.724148
82.2,-55.888607,-44.629383
82.3,-74.48688,-49.850204
82.4,-68.50789,-48.507126
82.5,-62.532604,-48.57765
82.6,-57.829422,-47.605167
82.7,-56.08879,-43.540253
82.8,-48.497913,-44.748146
82.9,-62.683765,-36.46463
83.0,-59.418358,-21.64944
83.1,-61.009014,-21.835287
83.2,-73.190994,-24.273472
83.3,-75.36377,-29.159603
83.4,-66.9014,-32.330345
83.5,-70.33715,-22.532396
83.6,-77.36534,-30.606777
83.7,-74.837685,-26.1245
83.8,-86.48375,-34.173733
83.9,-80.70839,-30.94162
84.0,-70.203926,-27.881392
84.1,-77.08272,-31.907597
84.2,-66.156296,-23.68398
84.3,-70.199745,-31.128902
84.4,-64.893776,-21.97922
84.5,-58.073524,-32.89175
84.6,-62.54331,-35.536972
84.7,-55.876522,-31.32954
84.8,-59.480843,-25.128307
84.9,-62.70995,-25.544449
85.0,-67.05033,-22.486326
85.1,-56.952934,-22.401918
85.2,-65.68718,-25.49596
85.3,-74.25248,-15.993492
85.4,-77.34071,-16.734606
85.5,-63.62874,-17.96992
85.6,-62.434948,-15.497978
85.7,-65.868614,-22.243265
85.8,-50.125263,-16.272118
85.9,-56.803143,-22.51614
86.0,-64.77966,-8.944036
86.1,-51.76929,-15.68305
86.2,-43.697533,-17.874964
86.3,-51.41358,-22.192461
86.4,-47.330517,-18.921074
86.5,-46.591644,-17.076904
86.6,-50.55268,-17.251709
86.7,-49.781662,-29.603142
86.8,-56.217983,-28.902464
86.9,-43.584194,-32.715355
87.0,-41.547028,-30.514715
87.1,-59.527145,-28.69916
87.2,-61.69216,-24.447039
87.3,-59.871502,-26.97903
87.4,-66.80806,-28.399982
87.5,-63.073772,-31.237547
87.6,-55.433456,-23.177298
87.7,-68.20267,-18.65678
87.8,-59.58468,-24.217012
87.9,-57.550835,-26.153679
88.0,-63.31668,-19.559296
88.1,-60.25037,-18.99165
88.2,-54.71203,-26.14086
88.3,-54.41206,-22.815672
88.4,-31.466024,-26.296314
88.5,-57.43742,-23.723722
88.6,-51.464687,-25.9356
88.7,-58.22176,-16.441057
88.8,-47.343002,-34.36258
88.9,-53.574688,-26.749084
89.0,-51.699554,-27.852795
89.1,-59.742577,-23.26412
89.2,-66.83487,-26.655003
89.3,-49.89251,-28.682608
89.4,-41.889507,-21.13802
89.5,-28.126219,-17.35992
89.6,-30.227196,-8.140791
89.7,-39.03579,-15.34867
89.8,-28.641806,-15.509518
89.9,-15.325671,-13.876633
90.0,-14.630074,-17.266481
90.1,-28.087172,-21.573917
90.2,-19.462303,-27.569855
90.3,-19.495304,-29.23341
90.4,-25.953743,-25.339931
90.5,-31.870033,-26.352755
90.6,-33.94575,-28.958742
90.7,-26.707008,-28.09255
90.8,-25.382095,-34.15098
90.9,-20.542063,-33.11791
91.0,-22.954786,-32.295555
91.1,-26.966959,-27.2224
91.2,-34.48512,-26.11538
91.3,-36.234547,-28.009403
91.4,-37.79279,-25.515787
91.5,-42.42806,-26.741634
91.6,-40.061497,-15.560765
91.7,-32.834915,-24.232452
91.8,-29.579311,-31.165495
91.9,-22.702614,-25.58871
92.0,-32.411587,-19.91454
92.1,-46.02313,-21.96409
92.2,-39.851093,-26.94266
92.3,-42.006626,-19.400454
92.4,-32.340275,-18.324783
92.5,-31.512257,-24.012526
92.6,-30.824362,-29.918959
92.7,-34.6441,-31.939041
92.8,-41.188187,-33.800022
92.9,-35.185005,-30.09428
93.0,-29.02595,-27.16346
93.1,-38.487377,-31.46012
93.2,-37.104725,-25.672998
93.3,-48.10848,-23.374937
93.4,-44.88917,-17.370924
