Time,Potential,Temperature,Pressure,Volume,Density,Box-X,Box-Y,Box-Z
38190.0,-3629475.75,309.506103515625,5.861753940582275,3145.215576171875,997.8583984375,12.316160202026367,12.3057279586792,20.75237464904785
38200.0,-3629320.0,310.8465270996094,97.4442367553711,3149.147216796875,996.6126098632812,12.31531047821045,12.304879188537598,20.78118133544922
38210.0,-3631348.0,308.7904052734375,30.035470962524414,3146.42626953125,997.4744873046875,12.311870574951172,12.30144214630127,20.774829864501953
38220.0,-3631204.25,309.6344909667969,-52.19488525390625,3143.87353515625,998.2843627929688,12.306581497192383,12.296156883239746,20.77582359313965
38230.0,-3630916.0,310.3843078613281,10.009264945983887,3149.373046875,996.5411376953125,12.307737350463867,12.297311782836914,20.808258056640625
38240.0,-3631635.75,310.5685729980469,117.12305450439453,3141.861572265625,998.9236450195312,12.306634902954102,12.296210289001465,20.762348175048828
38250.0,-3635758.0,309.6230163574219,62.51539993286133,3141.9287109375,998.90234375,12.31667423248291,12.306241035461426,20.728958129882812
38260.0,-3632986.5,309.7178955078125,-49.88859558105469,3149.0048828125,996.6576538085938,12.322389602661133,12.311951637268066,20.75637435913086
38270.0,-3630469.75,309.3429870605469,-62.19047164916992,3143.77587890625,998.3153686523438,12.322893142700195,12.312455177307129,20.72021484375
38280.0,-3637388.0,309.08282470703125,43.355377197265625,3144.251708984375,998.164306640625,12.319238662719727,12.30880355834961,20.735647201538086
38290.0,-3635002.0,308.9074401855469,-132.4788360595703,3151.3662109375,995.910888671875,12.324974060058594,12.314534187316895,20.763227462768555
38300.0,-3629128.25,310.41278076171875,34.180179595947266,3146.0751953125,997.5857543945312,12.318014144897461,12.30757999420166,20.75179672241211
38310.0,-3629783.75,310.7431335449219,-8.632094383239746,3145.979248046875,997.6162109375,12.318001747131348,12.307567596435547,20.751205444335938
38320.0,-3629819.75,311.068359375,-64.65794372558594,3145.6640625,997.7161865234375,12.31948471069336,12.309049606323242,20.74413299560547
